,Coef.,Std.Err.,t,P>|t|,[0.025,0.975]
Intercept,0.01857492788280625,0.008440491549528372,2.2006926698296567,0.027932840387968654,0.0020164756186693694,0.03513338014694313
negative,0.015966082554786862,0.006672401770984502,2.3928538932137915,0.016858896494673325,0.002876247020485216,0.029055918089088507
average_risk,0.1001950236205091,0.02087065080731358,4.8007618231722,1.7634303805703045e-06,0.059251238168383145,0.14113880907263504
net_bad_minus_good_news,0.0003157656427916028,0.00018712209120331404,1.6874845763053892,0.09174972819143752,-5.132816881569331e-05,0.0006828594543988989
average_risk:net_bad_minus_good_news,0.00041201553942950915,0.0008249465737402742,0.49944511868380453,0.6175502238123928,-0.0012063544786655713,0.0020303855575245894
