,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,0.07205398427194362,0.00851634571765781,8.460669242506999,2.658474263355321e-17,0.05536225338544239,0.08874571515844484
negative,-0.0056355172737845086,0.006915727237015854,-0.8148842602728563,0.4151385635135024,-0.01919009358523828,0.007919059037669263
average_risk,-0.06567630945202642,0.027782825361223985,-2.3639175857070938,0.018082834736864867,-0.12012964654879145,-0.011222972355261387
net_bad_minus_good_news,0.0003461742298428293,0.0002206760462497144,1.568698713457566,0.11671815853225398,-8.634287305730619e-05,0.0007786913327429649
average_risk:net_bad_minus_good_news,0.0001693418501583957,0.000845020850252951,0.20039961156899788,0.8411680632498845,-0.0014868685825228025,0.0018255522828395938
