,gics4 rise,gics4 fall or stable
0,1010.0,1510
1,3020.0,2010
2,3510.0,2020
3,3520.0,2030
4,4010.0,2510
5,4020.0,2520
6,4030.0,2530
7,4520.0,2550
8,4530.0,3010
9,5010.0,3030
10,,4510
11,,5020
12,,5510
