,gics4 rise,gics4 fall or stable
0,2510.0,1010
1,2550.0,1510
2,3020.0,2010
3,3510.0,2020
4,3520.0,2030
5,4020.0,2520
6,4530.0,2530
7,5020.0,3010
8,5510.0,3030
9,,4010
10,,4030
11,,4510
12,,4520
13,,5010
