,gics4 rise,gics4 fall or stable
0,2010,1010.0
1,2020,1510.0
2,2510,2030.0
3,2520,3030.0
4,2530,4520.0
5,2550,4530.0
6,3010,
7,3020,
8,3510,
9,3520,
10,4010,
11,4020,
12,4030,
13,4510,
14,5010,
15,5020,
16,5510,
