,gics4 rise,gics4 fall or stable
0,2010,1010.0
1,2020,1510.0
2,2510,2030.0
3,2520,2530.0
4,2550,3030.0
5,3010,4520.0
6,3020,4530.0
7,3510,5510.0
8,3520,
9,4010,
10,4020,
11,4030,
12,4510,
13,5010,
14,5020,
