distance,count
0,48
1,31
2,16
3,11
4,14
5,11
6,12
7,8
8,11
9,3
10,6
11,3
12,3
13,4
14,3
15,6
16,1
17,2
18,2
19,3
20,2
21,5
22,2
23,2
27,1
31,2
32,1
36,1
