cusip,first_year,last_year,null_count,total_values,percent_nulls
02081G201,2004,2024,21,252,8.333333333333332
694327107,1991,1999,55,108,50.92592592592593
34552U104,2010,2019,33,120,27.500000000000004
422878934,1990,1994,39,60,65.0
696077502,1992,1994,8,36,22.22222222222222
45885A409,1998,2019,21,264,7.954545454545454
40108N106,2005,2007,21,36,58.333333333333336
759464100,1985,1999,63,180,35.0
861025104,1989,2024,280,432,64.81481481481481
98141A101,1990,1999,17,120,14.166666666666666
534187109,1985,2024,174,480,36.25
682095104,2003,2024,22,264,8.333333333333332
87256C101,2006,2024,22,228,9.649122807017543
693149106,1985,2024,54,480,11.25
67113Y603,2009,2024,16,192,8.333333333333332
M7516K103,1998,2024,27,324,8.333333333333332
30231G102,1985,2024,54,480,11.25
961238102,1992,2003,18,144,12.5
84790A105,1999,2010,12,144,8.333333333333332
30050B101,2013,2024,12,144,8.333333333333332
23380G106,1997,1998,3,24,12.5
G6856M106,2013,2024,30,144,20.833333333333336
338307101,2012,2024,13,156,8.333333333333332
361942105,1998,1999,2,24,8.333333333333332
302130109,1985,2024,58,480,12.083333333333334
19075F304,2007,2017,12,132,9.090909090909092
031162100,1991,2024,42,408,10.294117647058822
635906100,1987,2024,51,456,11.18421052631579
811916105,2002,2024,23,276,8.333333333333332
06417N103,1995,2024,218,360,60.55555555555555
054540208,1998,2024,31,324,9.5679012345679
029595105,1985,2024,57,480,11.875
05508R106,2002,2024,23,276,8.333333333333332
29084Q100,1985,2024,56,480,11.666666666666666
830566105,1997,2024,28,336,8.333333333333332
6435EV108,1996,2005,55,120,45.83333333333333
344123203,1993,2007,19,180,10.555555555555555
058586108,1993,2024,38,384,9.895833333333332
31189P102,2011,2024,14,168,8.333333333333332
00206R102,1985,2024,58,480,12.083333333333334
427866108,1985,2024,57,480,11.875
69349H107,1985,2024,88,480,18.333333333333332
88023U101,2001,2024,24,288,8.333333333333332
019223106,1992,2006,20,180,11.11111111111111
65340P106,2012,2024,13,156,8.333333333333332
G8675X156,2012,2023,12,144,8.333333333333332
929160109,1985,2024,54,480,11.25
942622200,1988,2024,48,444,10.81081081081081
177835105,1987,2024,300,456,65.78947368421053
37959E102,1985,2024,170,480,35.41666666666667
868157306,1996,2019,25,288,8.680555555555555
019645506,1985,2010,38,312,12.179487179487179
558868105,2015,2024,21,120,17.5
86815V105,1998,2007,9,120,7.5
912008109,2013,2024,12,144,8.333333333333332
20337X109,2011,2024,23,168,13.690476190476192
911312106,1985,2024,54,480,11.25
45765Y204,1990,2024,44,420,10.476190476190476
85916J409,2002,2024,23,276,8.333333333333332
554489104,1993,2024,109,384,28.385416666666668
011532108,2006,2024,19,228,8.333333333333332
055645303,2019,2024,12,72,16.666666666666664
14174T107,2012,2024,28,156,17.94871794871795
63938C108,1985,2024,171,480,35.625
68571X301,2010,2024,33,180,18.333333333333332
255402406,1999,2001,5,36,13.88888888888889
74957T104,2003,2009,47,84,55.952380952380956
60899Z001,1985,2020,51,432,11.805555555555555
72941H509,2003,2024,26,264,9.848484848484848
73933H101,1985,2024,69,480,14.374999999999998
