k,mu_a,mean_default,median_default,min_default,max_default,mean_non_default,median_non_default,min_non_default,max_non_default,ttest_pval
0.0,mu_a_max,0.35590968578554816,0.43816404145645255,1.3065109952024194e-41,0.959595688829958,0.06475382646911496,5.4997018990059965e-08,0.0,1.0,1.1218115630573912e-24
0.0,rf,0.39065098798012976,0.4764812072769392,2.4033726383579877e-09,0.959595688829958,0.07059122182020915,1.3057506670058006e-06,0.0,1.0,2.898939549072883e-30
0.0,mu_a,0.6429714567921854,0.9284087626657721,1.3065109952024194e-41,1.0,0.10791683481930046,1.8388066484253865e-07,0.0,1.0,2.444283776226409e-29
0.1,mu_a_max,0.3596887212246979,0.4420893235810996,1.7473622189797022e-42,0.9368661106285422,0.06670518223542693,1.7164344704371905e-07,0.0,1.0,3.7268181478994643e-25
0.1,rf,0.3958244897882597,0.47656310957865783,2.4033726383579877e-09,0.9368661106285422,0.07309803453767015,3.8533481772871185e-06,0.0,1.0,4.004261229702639e-31
0.1,mu_a,0.6488952424859954,0.9394097605552131,1.7473622189797022e-42,1.0,0.1131837520311754,5.006503206182131e-07,0.0,1.0,1.3854729908483815e-29
0.2,mu_a_max,0.36287344695015455,0.45082505124646693,1.3431136732370672e-43,0.9236691883461,0.06836288861703603,4.2069349045311704e-07,0.0,1.0,1.503267493713045e-25
0.2,rf,0.40015145268868824,0.47664467809311734,2.4033726383579877e-09,0.9236691883461,0.07528339300064096,8.671446926167318e-06,0.0,1.0,7.72468400364127e-32
0.2,mu_a,0.6536275095280792,0.940520141324173,1.3431136732370672e-43,1.0,0.11763961836556007,1.230389665075323e-06,0.0,1.0,9.673237995675032e-30
0.3,mu_a_max,0.36564103172123164,0.45882710843162744,7.458584947052415e-45,0.915250711123592,0.06985850355263466,8.598965852449663e-07,0.0,1.0,7.054898767629849e-26
0.3,rf,0.403895435001813,0.47672591486220905,2.4033726383579877e-09,0.915250711123592,0.07729116941637344,1.6753581964600683e-05,0.0,1.0,1.9135085254376684e-32
0.3,mu_a,0.6575335348445959,0.9415477931723681,7.458584947052415e-45,1.0,0.121582579332668,2.487562380396419e-06,0.0,1.0,7.804823676825712e-30
0.4,mu_a_max,0.3680929234560369,0.4629765529953608,3.394284594299612e-46,0.9094539033924932,0.07123978111658827,1.605294772684034e-06,0.0,1.0,3.706424807509465e-26
0.4,rf,0.4072024254083618,0.4828502367865365,2.4033726383579877e-09,0.9094539033924932,0.07917350591382102,2.8726444988382685e-05,0.0,1.0,5.720227816296026e-33
0.4,mu_a,0.6608148356785817,0.944121219048511,3.394284594299612e-46,1.0,0.12515515471120636,4.786798163559195e-06,0.0,1.0,6.944199660277008e-30
0.5,mu_a_max,0.3702962678778968,0.4662206746313404,1.3658133258833583e-47,0.905231100268721,0.07253353152172642,2.755612152871271e-06,0.0,1.0,2.1233230104789902e-26
0.5,rf,0.41016657769452325,0.4877791860123991,2.4033726383579877e-09,0.905231100268721,0.08095961198385111,4.354389622048906e-05,0.0,1.0,1.980778598870763e-33
0.5,mu_a,0.6636125744153999,0.9494677468768726,1.3658133258833583e-47,1.0,0.12844102496323775,7.559549302184901e-06,0.0,1.0,6.601965705979725e-30
0.6,mu_a_max,0.37229800014862663,0.4680875817500858,5.102825005923742e-49,0.9020222724677548,0.07375697463303868,4.3926333229846805e-06,0.0,1.0,1.302910980320954e-26
0.6,rf,0.4128529379777889,0.4920317071254817,2.4033726383579877e-09,0.9020222724677548,0.08266822847970832,6.57873481311937e-05,0.0,1.0,7.727025505331153e-34
0.6,mu_a,0.666029581421861,0.9503274022341196,5.102825005923742e-49,1.0,0.13149561981492494,1.2178847448188447e-05,0.0,1.0,6.569415341728867e-30
0.7,mu_a_max,0.37413225556290386,0.46987824201138856,1.8294638022201046e-50,0.8995032504072278,0.07492204277562813,6.526340686662492e-06,0.0,1.0,8.456881488335235e-27
0.7,rf,0.4153086355194972,0.49750345246190775,2.4033726383579877e-09,0.8995032504072278,0.08431232752209394,9.779360114841705e-05,0.0,1.0,3.3293865439983373e-34
0.7,mu_a,0.6681423267054872,0.9517819569331301,1.8294638022201046e-50,1.0,0.13435824324642764,1.7456245275216062e-05,0.0,1.0,6.749083817864037e-30
0.8,mu_a_max,0.3758246944585739,0.4715973622356674,6.4408547505041706e-52,0.897474095811851,0.07603743651542519,8.97329960932166e-06,0.0,1.0,5.753624319775772e-27
0.8,rf,0.41756910699046734,0.5020838029806398,2.4033726383579877e-09,0.897474095811851,0.0859013524180256,0.0001380779271129,0.0,1.0,1.5614588568907065e-34
0.8,mu_a,0.670008597785213,0.953136843729476,6.4408547505041706e-52,1.0,0.13705786414121113,2.465248038953015e-05,0.0,1.0,7.0931271307217e-30
0.9,mu_a_max,0.37739515624429765,0.47324925885794267,2.263948338583576e-53,0.8958050480049418,0.07710974310591785,1.2761603331401547e-05,0.0,1.0,4.07492302358832e-27
0.9,rf,0.4196618061776898,0.5050364658374122,2.4033726383579877e-09,0.8958050480049418,0.08744243732205463,0.00019064860334335,0.0,1.0,7.881481809301184e-35
0.9,mu_a,0.6716726849091244,0.9544014659581159,2.263948338583576e-53,1.0,0.13961640050571483,3.299066045348716e-05,0.0,1.0,7.578180526827974e-30
1.0,mu_a_max,0.3788593515596509,0.4748378987045013,8.042177532112419e-55,0.8944083211326267,0.07814409917910056,1.692945798163835e-05,0.0,1.0,2.988239463129428e-27
1.0,rf,0.42160853021908784,0.5075075579565397,2.4033726383579877e-09,0.8944083211326267,0.08894113181228719,0.00025405143371405,0.0,1.0,4.243179503756642e-35
